State,Population2010_Population,Population2020_Population
Alaska,693136,715304
Alabama,4779736,5024279
Arkansas,2915918,3011524
Arizona,6392017,7151502
California,37253956,39538223
Colorado,5029196,5773714
Connecticut,3574097,3605944
District of Columbia,601723,689545
Delaware,897934,989948
Florida,18801310,21538187
Georgia,9687653,10711908
Hawaii,1360301,1455271
Iowa,3046355,3190369
Idaho,1567582,1839106
Illinois,12830632,12812508
Indiana,6483802,6785528
Kansas,2853118,2937880
Kentucky,4339367,4505836
Louisiana,4533372,4657757
Massachusetts,6547629,7029917
Maryland,5773552,6177224
Maine,1328361,1362359
Michigan,9883640,10077331
Minnesota,5303925,5706494
Missouri,5988927,6154913
Mississippi,2967297,2961279
Montana,989415,1084225
North Carolina,9535483,10439388
North Dakota,672591,779094
Nebraska,1826341,1961504
New Hampshire,1316470,1377529
New Jersey,8791894,9288994
New Mexico,2059179,2117522
Nevada,2700551,3104614
New York,19378102,20201249
Ohio,11536504,11799448
Oklahoma,3751351,3959353
Oregon,3831074,4237256
Pennsylvania,12702379,13002700
Rhode Island,1052567,1097379
South Carolina,4625364,5118425
South Dakota,800594,872995
Tennessee,6346105,6910840
Texas,25145561,29145505
Utah,2763885,3271616
Virginia,7994802,8631393
Vermont,625741,643077
Washington,6724540,7705281
Wisconsin,5686986,5893718
West Virginia,1852994,1793716
Wyoming,563626,576851
United States,308708635,331417522
